Date of Download: 2023-08-16_14:22:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Search Parameters: Data Level:all  Trait List:  Trial List:10535,8702,9128,9225,7676,7671,9372,9353,9832,11615,11236  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Cassava anthracnose disease severity|month 5|COMP:0000273,Cassava anthracnose disease severity|month 7|COMP:0000274,Cassava bacterial blight severity|month 5|COMP:0000271,Cassava bacterial blight severity|month 7|COMP:0000272,Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224,Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225,Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051,beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053,branching level counting|CO_334:0000079,cassava anthractnose disease severity in 3-month|CO_334:0000218,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,dry matter content by specific gravity method|CO_334:0000160,dry matter content by table-top NIRS in percentage|CO_334:0002057,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh storage root weight per plot|CO_334:0000012,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,lodged plants estimation 1-3|month 6|COMP:0000208,marketable root number counting|CO_334:0000169,marketable root weight measurement in kg|CO_334:0000131,number of planted stakes per plant counting|CO_334:0000300,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root number per plot counting|CO_334:0000011,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,rotted storage root counting|CO_334:0000084,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,140637,SM1759-29,,plot,2303263,202056CQPRC_cere_rep1_SM1759-29_1,1,1,1,1,1,test,,1,1,2,2,,,,,0,1,1,38.87938803,,300,41.66666667,30,5,1,,31,19.1,24,25,2,300,50,9,3,2,1,3,80,3400,426,,25,2,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,269469,GM1406-13,,plot,2303250,202056CQPRC_cere_rep1_GM1406-13_2,1,1,2,1,2,test,,1,1,2,2,,,,,0,1,1,38.46070764,,280,47.5,34.2,4,1,,45,29.8,25,25,2,280,50,9,3,2,2,3,96,3675,453,,22,1,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,140368,SM1127-8,,plot,2303253,202056CQPRC_cere_rep1_SM1127-8_3,1,1,3,1,3,test,,1,1,2,2,,,,,1,1,2,38.18336061,,235,32.77777778,23.6,5,1,,25,16.6,21,25,1,300,60,9,2,1,2,3,65,4175,509,,21,1,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,230102,CM9912-167,,plot,2303288,202056CQPRC_cere_rep1_CM9912-167_4,1,1,4,1,4,test,,1,1,2,2,,,,,0,1,1,37.03562762,,320,29.72222222,21.4,5,1,,24,16.9,21,25,2,320,55,9,2,1,2,3,45,4850,564,,23,1,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,285973,SM3387-40,,plot,2303247,202056CQPRC_cere_rep1_SM3387-40_5,1,1,5,2,1,test,,1,1,2,2,,,,,0,1,2,39.82220909,,285,45.41666667,32.7,4,1,,23,26.4,18,25,1,285,55,9,3,3,2,3,45,4375,568,,24,2,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,2169454,GM9122-1,,plot,2303266,202056CQPRC_cere_rep1_GM9122-1_6,1,1,6,2,2,test,,1,1,2,2,,,,,0,1,1,39.1125212,,330,49.58333333,35.7,5,2,,35,26.8,25,25,2,330,35,9,3,1,1,3,84,4050,512,,25,1,3,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,236646,SMB2446-2,"Caiseli,Caiselli,CAISELLI",plot,2303258,202056CQPRC_cere_rep1_Caiselli_7,1,1,7,2,3,test,,1,1,2,2,,,,,0,1,1,40.1775566,,270,43.61111111,31.4,4,1,,38,24.2,16,25,2,270,40,9,3,2,2,3,64,4425,582,,23,1,3,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,152748,CM9456-12,,plot,2303256,202056CQPRC_cere_rep1_CM9456-12_8,1,1,8,2,4,test,,1,1,3,3,,,,,0,1,1,38.04672831,,275,53.75,38.7,5,1,,41,29.9,18,25,2,275,35,9,3,2,2,3,74,4000,485,,21,2,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,310088,SM3553-27,,plot,2303267,202056CQPRC_cere_rep1_SM3553-27_9,1,1,9,3,1,test,,1,1,2,2,,,,,0,1,1,38.21230148,,260,51.11111111,36.8,4,2,,40,30.7,25,25,2,260,50,9,3,1,1,3,65,4375,534,,22,1,2,1,1," (Operator: lizbethpino, Time: )"
2020,174,CIAT,"CIAT cassava breeding, Cali, Colombia",7671,202056CQPRC_cere,PRC,RCBD,5,4,,,,2020-July-28,2021-March-01,367,Cerete,298109,SM3386-49,,plot,2303269,202056CQPRC_cere_rep1_SM3386-49_10,1,1,10,3,2,test,,1,1,2,2,,,,,0,1,1,37.44187288,,260,50.41666667,36.3,5,1,,42,26.3,15,25,2,260,30,9,3,2,2,3,101,4675,553,,25,2,3,1,1," (Operator: lizbethpino, Time: )"
