"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CAD_3mon","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_SM1759-29_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","SM1759-29","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,38.87938803,NA,300,41.66666667,9,100,41.6666666666667,16.1997450125,30,5,1,NA,31,19.1,24,25,2,300,50,9,3,2,1,3,80,3400,426,NA,25,2,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM1406-13_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","GM1406-13","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,38.46070764,NA,280,47.5,9,88,47.5,18.268836129,34.2,4,1,NA,45,29.8,25,25,2,280,50,9,3,2,2,3,96,3675,453,NA,22,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_SM1127-8_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,1,1,2,38.18336061,NA,235,32.77777778,9,84,32.7777777777778,12.5156570888333,23.6,5,1,NA,25,16.6,21,25,1,300,60,9,2,1,2,3,65,4175,509,NA,21,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_CM9912-167_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,37.03562762,NA,320,29.72222222,9,92,29.7222222222222,11.0078115426111,21.4,5,1,NA,24,16.9,21,25,2,320,55,9,2,1,2,3,45,4850,564,NA,23,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_SM3387-40_5",1,5,2,1,"test"," (Operator: lizbethpino, Time: )","SM3387-40","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,2,39.82220909,NA,285,45.41666667,9,96,45.4166666666667,18.0859199617083,32.7,4,1,NA,23,26.4,18,25,1,285,55,9,3,3,2,3,45,4375,568,NA,24,2,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM9122-1_6",1,6,2,2,"test"," (Operator: lizbethpino, Time: )","GM9122-1","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,39.1125212,NA,330,49.58333333,9,100,49.5833333333333,19.3932917616667,35.7,5,2,NA,35,26.8,25,25,2,330,35,9,3,1,1,3,84,4050,512,NA,25,1,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia","Caiseli,Caiselli,CAISELLI","202056CQPRC_cere_rep1_Caiselli_7",1,7,2,3,"test"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,40.1775566,NA,270,43.61111111,9,92,43.6111111111111,17.5218788505556,31.4,4,1,NA,38,24.2,16,25,2,270,40,9,3,2,2,3,64,4425,582,NA,23,1,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_CM9456-12_8",1,8,2,4,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,3,3,NA,NA,NA,NA,0,1,1,38.04672831,NA,275,53.75,9,84,53.75,20.450116466625,38.7,5,1,NA,41,29.9,18,25,2,275,35,9,3,2,2,3,74,4000,485,NA,21,2,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_SM3553-27_9",1,9,3,1,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,38.21230148,NA,260,51.11111111,9,88,51.1111111111111,19.5307318675556,36.8,4,2,NA,40,30.7,25,25,2,260,50,9,3,1,1,3,65,4375,534,NA,22,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_SM3386-49_10",1,10,3,2,"test"," (Operator: lizbethpino, Time: )","SM3386-49","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,37.44187288,NA,260,50.41666667,9,100,50.4166666666667,18.8769442436667,36.3,5,1,NA,42,26.3,15,25,2,260,30,9,3,2,2,3,101,4675,553,NA,25,2,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM9108-5_11",1,11,3,3,"test"," (Operator: lizbethpino, Time: )","GM9108-5","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,39.94077443,NA,260,51.80555556,9,96,51.8055555555556,20.6915400866528,37.3,5,1,NA,44,27.9,21,25,2,260,45,9,3,1,1,3,77,4425,577,NA,24,2,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM8870-84_12",1,12,3,4,"test"," (Operator: lizbethpino, Time: )","GM8870-84","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,37.74812039,NA,270,52.08333333,9,100,52.0833333333333,19.6604793697917,37.5,5,1,NA,51,32.8,24,25,2,270,45,9,3,1,2,2,73,4775,572,NA,25,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia","Costena","202056CQPRC_cere_rep1_Costena_13",1,13,4,1,"test"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,36.1371021,NA,235,58.47222222,9,100,58.4722222222222,21.1301666445833,42.1,5,1,NA,57,35.1,18,25,2,235,35,9,3,1,2,3,93,4775,534,NA,25,1,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM9103-22_14",1,14,4,2,"test"," (Operator: lizbethpino, Time: )","GM9103-22","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,4,1,2,37.28715304,NA,35,37.22222222,9,84,37.2222222222222,13.8791069648889,26.8,4,1,NA,21,23.7,25,25,2,210,35,9,3,1,1,3,32,4450,523,NA,21,1,3,1,3
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_GM8870-29_15",1,15,4,3,"test"," (Operator: lizbethpino, Time: )","GM8870-29","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,38.62087685,NA,260,55.97222222,9,96,55.9722222222222,21.6169630146528,40.3,5,1,NA,52,36.2,18,25,2,260,40,9,3,1,1,3,72,4700,583,NA,24,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep1_Venezolana_16",1,16,4,4,"test"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,4,1,1,39.10646166,NA,110,46.66666667,9,100,46.6666666666667,18.249682108,33.6,4,1,NA,37,28.3,22,25,3,230,35,9,3,2,2,3,64,4225,534,NA,25,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep2_SM3386-49_17",2,17,1,5,"test"," (Operator: lizbethpino, Time: )","SM3386-49","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,37.74311719,NA,235,44.30555556,9,100,44.3055555555556,16.7222977550139,31.9,4,1,NA,46,25.3,20,25,2,235,30,9,3,2,2,3,66,4275,512,NA,25,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep2_GM8870-84_18",2,18,1,6,"test"," (Operator: lizbethpino, Time: )","GM8870-84","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,37.74339498,NA,245,34.16666667,9,96,34.1666666666667,12.8956599515,24.6,5,2,NA,20,16.2,25,25,2,245,45,9,3,1,2,2,53,4300,515,NA,24,1,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep2_SM3387-40_19",2,19,1,7,"test"," (Operator: lizbethpino, Time: )","SM3387-40","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,0,1,1,38.25693619,NA,260,45.27777778,9,96,45.2777777777778,17.3218905526944,32.6,5,1,NA,23,25.6,18,25,2,260,45,9,3,3,2,3,52,4678,572,NA,24,2,2,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia","Caiseli,Caiselli,CAISELLI","202056CQPRC_cere_rep2_Caiselli_20",2,20,1,8,"test"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,1,1,1,39.20467606,NA,35,46.52777778,9,88,46.5277777777778,18.2410645556944,33.5,4,1,NA,43,27.2,24,25,2,230,35,9,3,2,2,3,65,4225,536,NA,22,1,3,1,1
2020,"202056CQPRC_cere","PRC",5,4,"2020-July-28","2021-March-01","Cerete. Cordoba, Colombia",NA,"202056CQPRC_cere_rep2_Venezolana_21",2,21,2,5,"test"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1,1,2,2,NA,NA,NA,NA,3,1,1,39.2317977,NA,35,36.11111111,9,100,36.1111111111111,14.1670380583333,26,4,1,NA,22,20.9,25,25,3,220,25,9,3,1,2,3,46,4575,581,NA,25,2,2,1,1
